Date,Open,High,Low,Close,Adj Close,Volume
2019-01-28,25.290001,25.959999,24.740000,25.799999,9.190095,298317600
2019-02-04,25.840000,26.120001,24.660000,25.129999,8.951438,255159000
2019-02-11,25.170000,27.020000,24.540001,26.840000,9.560549,326094000
2019-02-18,26.590000,27.700001,26.410000,27.129999,9.663848,239696800
2019-02-25,27.000000,27.750000,26.570000,26.700001,9.510680,284870200
2019-03-04,26.700001,26.910000,26.219999,26.670000,9.499993,100823100
2019-03-11,27.020000,28.389999,27.010000,28.250000,10.062798,295906200
2019-03-18,28.350000,29.600000,27.000000,27.000000,9.617541,415074600
2019-03-25,26.830000,28.680000,26.820000,28.059999,9.995117,383737500
2019-04-01,28.400000,28.889999,27.370001,28.780001,10.251587,242828300
2019-04-08,29.059999,29.570000,25.570000,25.830000,9.200782,444572900
2019-04-15,26.350000,27.889999,25.549999,27.600000,9.831265,417647000
2019-04-22,27.690001,28.070000,27.059999,27.250000,9.706593,263044400
2019-04-29,27.549999,27.660000,26.520000,26.850000,9.570823,138415600
2019-05-06,26.389999,27.469999,26.120001,26.680000,9.510224,235949900
2019-05-13,26.209999,26.469999,24.469999,24.680000,8.797317,228962000
2019-05-20,24.680000,26.490000,24.639999,26.090000,9.299916,246200500
2019-05-27,26.299999,26.860001,25.420000,25.549999,9.141941,272775400
2019-06-03,25.879999,26.830000,25.559999,26.760000,9.574888,296156200
2019-06-10,26.600000,27.389999,26.520000,27.059999,9.682227,227280000
2019-06-17,27.080000,28.389999,26.959999,28.280001,10.118751,172333800
2019-06-24,28.320000,28.379999,27.010000,27.410000,9.807463,228219800
2019-07-01,27.840000,28.030001,26.650000,27.400000,9.803884,189997200
2019-07-08,27.500000,28.740000,27.440001,28.530001,10.208202,165149800
2019-07-15,28.590000,28.650000,27.370001,27.440001,9.818194,184554800
2019-07-22,27.620001,27.750000,26.100000,26.139999,9.353047,173904700
2019-07-29,26.219999,26.889999,25.160000,26.520000,9.489013,260043800
2019-08-05,25.799999,26.690001,25.000000,26.280001,9.403141,247081800
2019-08-12,25.920000,26.129999,23.889999,23.910000,8.555139,246530100
2019-08-19,24.299999,25.990000,23.680000,24.280001,8.755800,274522900
2019-08-26,24.580000,25.690001,23.770000,25.500000,9.195752,268112500
2019-09-02,25.389999,26.860001,25.030001,26.520000,9.563582,220147500
2019-09-09,26.750000,27.350000,26.639999,26.879999,9.693404,198690500
2019-09-16,28.120001,28.240000,27.000000,27.000000,9.736679,369718500
2019-09-23,27.000000,27.950001,26.780001,27.660000,9.974687,163917600
2019-09-30,27.559999,27.730000,26.270000,26.510000,9.559979,200855700
2019-10-07,26.370001,27.360001,25.950001,27.260000,9.830440,159924600
2019-10-14,27.040001,28.000000,26.940001,27.600000,9.953050,150122800
2019-10-21,27.750000,29.549999,27.600000,29.250000,10.548068,288503800
2019-10-28,29.219999,31.230000,29.120001,30.430000,10.973599,318737800
2019-11-04,30.889999,31.219999,28.100000,30.020000,10.825745,485904100
2019-11-11,29.850000,30.610001,29.270000,29.299999,10.566100,158649000
2019-11-18,29.700001,30.340000,28.730000,29.980000,10.883134,176027400
2019-11-25,29.920000,30.100000,28.809999,29.150000,10.581831,201390500
2019-12-02,29.400000,30.590000,28.730000,30.350000,11.017448,200303200
2019-12-09,30.299999,31.049999,29.870001,29.980000,10.883134,253487300
2019-12-16,30.049999,30.750000,29.410000,30.260000,10.984777,306513400
2019-12-23,30.190001,30.930000,30.030001,30.520000,11.079162,71775800
2019-12-30,30.549999,31.240000,30.150000,30.450001,11.206730,131481700
2020-01-06,30.430000,30.940001,29.950001,30.270000,11.140480,224381800
2020-01-13,30.350000,30.430000,29.330000,29.850000,10.985906,168784400
2020-01-20,29.700001,30.100000,28.820000,29.299999,10.783485,182961100
2020-01-27,28.629999,29.139999,27.670000,28.450001,10.470654,255375400
2020-02-03,28.520000,29.510000,28.120001,28.930000,10.647312,345734300
2020-02-10,28.889999,30.280001,28.639999,29.420000,10.827651,233374300
2020-02-17,29.629999,30.889999,28.950001,29.139999,10.724598,238085600
2020-02-24,29.139999,29.139999,24.620001,25.340000,9.326059,278414500
2020-03-02,25.500000,27.480000,22.549999,22.830000,8.402287,409092500
2020-03-09,17.809999,18.650000,11.080000,15.400000,5.667771,884282700
